# Symbol -> NSE sectoral index map. One row per symbol.
# Sector codes must match src/trading/data/sector.py::SECTOR_TICKERS keys.
# Symbols not listed here are treated as "no sector" by pre_open_iep
# (no sector bonus, no sector veto).
symbol,sector
HDFCBANK,NIFTYBANK
ICICIBANK,NIFTYBANK
AXISBANK,NIFTYBANK
KOTAKBANK,NIFTYBANK
INDUSINDBK,NIFTYBANK
IDFCFIRSTB,NIFTYBANK
SBIN,PSUBANK
INFY,IT
TCS,IT
HCLTECH,IT
WIPRO,IT
TECHM,IT
LTIM,IT
M&M,AUTO
MARUTI,AUTO
EICHERMOT,AUTO
TATAMOTORS,AUTO
TMPV,AUTO
BAJAJ-AUTO,AUTO
HEROMOTOCO,AUTO
ITC,FMCG
NESTLEIND,FMCG
BRITANNIA,FMCG
HINDUNILVR,FMCG
TATACONSUM,FMCG
DRREDDY,PHARMA
SUNPHARMA,PHARMA
CIPLA,PHARMA
APOLLOHOSP,PHARMA
MAXHEALTH,PHARMA
TATASTEEL,METAL
JSWSTEEL,METAL
HINDALCO,METAL
COALINDIA,METAL
NTPC,ENERGY
POWERGRID,ENERGY
TATAPOWER,ENERGY
ONGC,ENERGY
BPCL,ENERGY
RELIANCE,ENERGY
BAJFINANCE,FINSERV
BAJAJFINSV,FINSERV
SHRIRAMFIN,FINSERV
HDFCLIFE,FINSERV
SBILIFE,FINSERV
PFC,FINSERV
RECLTD,FINSERV
JIOFIN,FINSERV
IREDA,FINSERV
LT,INFRA
ULTRACEMCO,INFRA
GRASIM,INFRA
ASIANPAINT,INFRA
ADANIENT,INFRA
ADANIPORTS,INFRA
RVNL,INFRA
IRB,INFRA
BEL,INFRA
MAZDOCK,INFRA
